역번호,역명,일평균승하차
201,장산,30325
202,중동,16148
203,해운대,31327
204,동백,14291
205,벡스코,21705
206,센텀시티,42151
207,민락,7342
208,수영,31242
209,광안,23826
210,금련산,17325
211,남천,16679
212,경성대부경대,33488
213,대연,20127
214,못골,10394
215,지게골,5715
216,문현,10147
217,국제금융센터부산은행,10395
218,전포,21343
219,서면,51418
220,부암,12345
221,가야,7209
222,동의대,12926
223,개금,16531
224,냉정,11579
225,주례,13763
226,감전,7926
227,사상,46549
228,덕포,9436
229,모덕,3827
230,모라,9218
231,구남,8643
232,구명,6368
233,덕천,12580
234,수정,12073
235,화명,21585
236,율리,8751
237,동원,2972
238,금곡,4574
239,호포,2511
240,증산,9265
241,부산대양산캠퍼스,3452
242,남양산,6584
243,양산,11569
