연도,뛰거나 걷는 소리,망치질,가구 (끌거나 찍는 행위),문 개폐,가전제품(TV 청소기 세탁기),악기(피아노 등),기타
2012 ,1338,67,44,24,36,39,281
2013 ,2383,170,90,50,80,66,432
2014 ,3190,180,170,93,140,82,610
2015 ,3423,171,160,101,152,88,617
2016 ,4509,235,208,127,239,126,862
2017 ,6359,317,303,170,316,148,1613
2018 ,6984,494,368,221,404,147,1524
2019 ,4956,385,326,127,223,99,1855
2020 ,7456,569,555,271,109,132,3047
2021 ,6299,659,450,229,220,92,1262
2022 ,5515,648,403,199,240,61,705
2023 ,5098,729,318,160,260,58,441
2024 ,"5,204",907,326,188,214,63,131
